DATA;CD_GEOCMU;CD_GEOCMU6DIG;NM_MUNICIP;NM_MUNICIP2;NRS;NM_RS;LONG;LAT;CASO_CONF;CASO_ACOMP;CASO_TOTAL;CURADOS;ATIVOS;OBITO_ACUM;DIAS_ULTIMO_CASO;POP_MUN;OBITO_NOVO;LETALIDADE;PREVALENCIA
2021-09-03;2900108;290010;ABAÍRA;Abaíra;Centro-leste;Seabra;-41,742894;-13,296569;298;0;298;289;0;12;4;8710;0;4,03;3421,35
2021-09-03;2900207;290020;ABARÉ;Abaré;Norte;Paulo Afonso;-39,317693;-8,83354;1024;0;1024;1012;1;11;5;20347;0;1,07;5032,68
2021-09-03;2900306;290030;ACAJUTIBA;Acajutiba;Nordeste;Alagoinhas;-38,000531;-11,663172;573;0;573;555;0;20;3;15187;0;3,49;3772,96
2021-09-03;2900355;290035;ADUSTINA;Adustina;Nordeste;Ribeira do Pombal;-38,037088;-10,562382;1070;0;1070;1043;0;27;1;17126;0;2,52;6247,81
2021-09-03;2900405;290040;ÁGUA FRIA;Água Fria;Centro-leste;Serrinha;-38,71045;-11,823137;204;0;204;191;0;13;8;17033;0;6,37;1197,68
2021-09-03;2900504;290050;ÉRICO CARDOSO;Érico Cardoso;Sudoeste;Brumado;-42,067321;-13,400215;327;0;327;324;0;4;9;10560;0;1,22;3096,59
2021-09-03;2900603;290060;AIQUARA;Aiquara;Sul;Jequié;-39,880862;-14,091819;501;0;501;485;4;12;2;4416;0;2,4;11345,11
2021-09-03;2900702;290070;ALAGOINHAS;Alagoinhas;Nordeste;Alagoinhas;-38,402259;-12,113185;14529;1;14530;14184;23;322;0;152327;0;2,22;9538,03
2021-09-03;2900801;290080;ALCOBAÇA;Alcobaça;Extremo sul;Teixeira de Freitas;-39,409063;-17,468989;1723;6;1729;1692;1;30;1;22490;0;1,74;7661,18
2021-09-03;2900900;290090;ALMADINA;Almadina;Sul;Itabuna;-39,664093;-14,701273;636;0;636;624;2;10;13;5366;0;1,57;11852,4
2021-09-03;2901007;290100;AMARGOSA;Amargosa;Leste;Santo Antônio de Jesus;-39,626296;-13,040884;3205;0;3205;3138;11;56;0;37441;0;1,75;8560,13
2021-09-03;2901106;290110;AMÉLIA RODRIGUES;Amélia Rodrigues;Centro-leste;Feira de Santana;-38,718124;-12,420497;2346;1;2347;2298;1;47;2;25048;0;2;9366,02
2021-09-03;2901155;290115;AMÉRICA DOURADA;América Dourada;Centro-norte;Irecê;-41,522923;-11,406196;950;0;950;936;1;13;5;16090;0;1,37;5904,29
2021-09-03;2901205;290120;ANAGÉ;Anagé;Sudoeste;Vitória da Conquista;-40,970846;-14,590126;1118;0;1118;1068;21;29;0;21607;0;2,59;5174,25
2021-09-03;2901304;290130;ANDARAÍ;Andaraí;Centro-leste;Itaberaba;-41,215092;-12,733629;948;0;948;937;1;10;1;13132;0;1,05;7219,01
2021-09-03;2901353;290135;ANDORINHA;Andorinha;Norte;Senhor do Bonfim;-39,871901;-10,280762;966;0;966;947;2;17;8;14503;0;1,76;6660,69
2021-09-03;2901403;290140;ANGICAL;Angical;Oeste;Barreiras;-44,647724;-11,996639;731;0;731;708;4;19;0;13938;1;2,6;5244,65
2021-09-03;2901502;290150;ANGUERA;Anguera;Centro-leste;Feira de Santana;-39,192832;-12,182974;498;0;498;493;3;2;18;11297;0;0,4;4408,25
2021-09-03;2901601;290160;ANTAS;Antas;Nordeste;Ribeira do Pombal;-38,294029;-10,406571;1318;0;1318;1303;2;13;10;19479;0;0,99;6766,26
2021-09-03;2901700;290170;ANTÔNIO CARDOSO;Antônio Cardoso;Centro-leste;Feira de Santana;-39,147051;-12,379795;625;1;626;611;3;11;2;11677;0;1,76;5352,4
2021-09-03;2901809;290180;ANTÔNIO GONÇALVES;Antônio Gonçalves;Norte;Senhor do Bonfim;-40,362365;-10,601509;916;0;916;905;1;10;12;11878;0;1,09;7711,74
2021-09-03;2901908;290190;APORÁ;Aporá;Nordeste;Alagoinhas;-38,193803;-11,731565;645;0;645;630;0;19;7;17788;0;2,95;3626,04
2021-09-03;2901957;290195;APUAREMA;Apuarema;Sul;Jequié;-39,75157;-13,820034;775;0;775;767;0;10;7;7302;0;1,29;10613,53
2021-09-03;2902005;290200;ARACATU;Aracatu;Sudoeste;Brumado;-41,374548;-14,371226;894;1;895;879;0;18;0;13045;0;2,01;6853,2
2021-09-03;2902054;290205;ARAÇAS;Araças;Nordeste;Alagoinhas;-38,212521;-12,172959;717;0;717;701;0;17;1;12208;0;2,37;5873,2
2021-09-03;2902104;290210;ARACI;Araci;Centro-leste;Serrinha;-39,064595;-11,212404;3706;0;3706;3654;0;53;0;54648;0;1,43;6781,58
2021-09-03;2902203;290220;ARAMARI;Aramari;Nordeste;Alagoinhas;-38,524985;-12,050722;672;0;672;659;0;13;8;11461;1;1,93;5863,36
2021-09-03;2902252;290225;ARATACA;Arataca;Sul;Ilhéus;-39,41218;-15,243275;790;0;790;775;0;15;14;10961;0;1,9;7207,37
2021-09-03;2902302;290230;ARATUÍPE;Aratuípe;Leste;Santo Antônio de Jesus;-39,069429;-13,08463;487;1;488;476;0;11;1;8837;0;2,26;5510,92
2021-09-03;2902401;290240;AURELINO LEAL;Aurelino Leal;Sul;Itabuna;-39,478263;-14,362134;1031;1;1032;999;0;33;3;11299;0;3,2;9124,7
2021-09-03;2902500;290250;BAIANÓPOLIS;Baianópolis;Oeste;Barreiras;-44,44023;-12,657125;931;0;931;912;1;18;0;13929;0;1,93;6683,9
2021-09-03;2902609;290260;BAIXA GRANDE;Baixa Grande;Centro-leste;Feira de Santana;-40,152775;-11,96475;890;0;890;873;1;16;0;20449;0;1,8;4352,29
2021-09-03;2902658;290265;BANZAÊ;Banzaê;Nordeste;Ribeira do Pombal;-38,654344;-10,616472;1193;0;1193;1180;4;9;2;13240;0;0,75;9010,57
2021-09-03;2902708;290270;BARRA;Barra;Oeste;Ibotirama;-43,366169;-11,030863;2262;1;2263;2197;3;62;6;53910;0;2,74;4195,88
2021-09-03;2902807;290280;BARRA DA ESTIVA;Barra da Estiva;Sudoeste;Brumado;-41,098092;-13,650485;2824;0;2824;2784;7;33;2;20392;0;1,17;13848,57
2021-09-03;2902906;290290;BARRA DO CHOÇA;Barra do Choça;Sudoeste;Vitória da Conquista;-40,581198;-14,912901;2299;0;2299;2249;15;35;0;31209;0;1,52;7366,46
2021-09-03;2903003;290300;BARRA DO MENDES;Barra do Mendes;Centro-norte;Irecê;-42,114404;-11,96709;826;0;826;809;2;15;2;13833;0;1,82;5971,23
2021-09-03;2903102;290310;BARRA DO ROCHA;Barra do Rocha;Sul;Jequié;-39,587949;-14,10248;410;0;410;403;0;7;6;5612;0;1,71;7305,77
2021-09-03;2903201;290320;BARREIRAS;Barreiras;Oeste;Barreiras;-45,525105;-12,0176;19799;2;19801;19418;54;327;0;156975;0;1,65;12612,84
2021-09-03;2903235;290323;BARRO ALTO;Barro Alto;Centro-norte;Irecê;-41,836786;-11,847992;926;0;926;914;0;13;32;15054;0;1,4;6151,19
2021-09-03;2903276;290327;BARROCAS;Barrocas;Centro-leste;Serrinha;-39,09492;-11,538041;840;0;840;805;11;24;1;16105;0;2,86;5215,77
2021-09-03;2903300;290330;BARRO PRETO;Barro Preto;Sul;Itabuna;-39,444728;-14,775862;636;0;636;621;3;12;5;5448;0;1,89;11674,01
2021-09-03;2903409;290340;BELMONTE;Belmonte;Extremo sul;Porto Seguro;-39,177271;-15,935417;1200;0;1200;1161;13;26;1;23437;0;2,17;5120,11
2021-09-03;2903508;290350;BELO CAMPO;Belo Campo;Sudoeste;Vitória da Conquista;-41,20384;-14,998514;986;0;986;968;0;18;7;17109;0;1,83;5763,05
2021-09-03;2903607;290360;BIRITINGA;Biritinga;Centro-leste;Serrinha;-38,792633;-11,585323;602;0;602;596;0;7;5;15984;0;1,16;3766,27
2021-09-03;2903706;290370;BOA NOVA;Boa Nova;Sul;Jequié;-40,230115;-14,360234;1035;0;1035;1011;5;19;7;12329;0;1,84;8394,84
2021-09-03;2903805;290380;BOA VISTA DO TUPIM;Boa Vista do Tupim;Centro-leste;Itaberaba;-40,670227;-12,770168;290;0;290;281;0;11;4;18531;0;3,79;1564,95
2021-09-03;2903904;290390;BOM JESUS DA LAPA;Bom Jesus da Lapa;Oeste;Santa Maria da Vitória;-43,293387;-13,277147;6135;0;6135;6034;6;95;0;69662;0;1,55;8806,81
2021-09-03;2903953;290395;BOM JESUS DA SERRA;Bom Jesus da Serra;Sudoeste;Vitória da Conquista;-40,577361;-14,389879;487;0;487;477;1;9;12;9823;0;1,85;4957,75
