date;casos;casos_novos
06/03/2020;1;1
07/03/2020;2;1
08/03/2020;2;0
09/03/2020;2;0
10/03/2020;2;0
11/03/2020;3;1
12/03/2020;3;0
13/03/2020;7;4
14/03/2020;7;0
15/03/2020;9;2
16/03/2020;10;1
17/03/2020;14;4
18/03/2020;27;13
19/03/2020;31;4
20/03/2020;34;3
21/03/2020;41;7
22/03/2020;55;14
23/03/2020;63;8
24/03/2020;79;16
25/03/2020;91;12
26/03/2020;108;17
27/03/2020;123;15
28/03/2020;127;4
29/03/2020;156;29
30/03/2020;176;20
31/03/2020;217;41
01/04/2020;246;29
02/04/2020;267;21
03/04/2020;290;23
04/04/2020;336;46
05/04/2020;401;65
06/04/2020;437;36
07/04/2020;462;25
08/04/2020;515;53
09/04/2020;568;53
10/04/2020;616;48
11/04/2020;640;24
12/04/2020;674;34
13/04/2020;723;49
14/04/2020;776;53
15/04/2020;884;108
16/04/2020;967;83
17/04/2020;1064;97
18/04/2020;1200;136
19/04/2020;1249;49
20/04/2020;1377;128
21/04/2020;1504;127
22/04/2020;1645;141
23/04/2020;1845;200
24/04/2020;1979;134
25/04/2020;2116;137
26/04/2020;2248;132
27/04/2020;2356;108
28/04/2020;2564;208
29/04/2020;2676;112
30/04/2020;2867;191
01/05/2020;3140;273
02/05/2020;3315;175
03/05/2020;3566;251
04/05/2020;3734;168
05/05/2020;4040;306
06/05/2020;4301;261
07/05/2020;4528;227
08/05/2020;4745;217
09/05/2020;5174;429
10/05/2020;5558;384
11/05/2020;5808;250
12/05/2020;6204;396
13/05/2020;6547;343
14/05/2020;6955;408
15/05/2020;8128;1173
16/05/2020;8314;186
17/05/2020;8443;129
18/05/2020;8881;438
19/05/2020;11013;2132
20/05/2020;11197;184
21/05/2020;11942;745
22/05/2020;12557;615
23/05/2020;13000;443
24/05/2020;13899;899
25/05/2020;14204;305
26/05/2020;14566;362
27/05/2020;15070;504
28/05/2020;15963;893
29/05/2020;16917;954
30/05/2020;17626;709
31/05/2020;18392;766
01/06/2020;18898;506
02/06/2020;21430;2532
03/06/2020;22451;1021
04/06/2020;23463;1012
05/06/2020;26419;2956
06/06/2020;27396;977
07/06/2020;28250;854
08/06/2020;28715;465
09/06/2020;30481;1766
10/06/2020;32685;2204
11/06/2020;33891;1206
12/06/2020;34665;774
13/06/2020;35788;1123
14/06/2020;36401;613
15/06/2020;37620;1219
16/06/2020;39206;1586
17/06/2020;40926;1720
18/06/2020;41577;651
19/06/2020;43922;2345
20/06/2020;45304;1382
21/06/2020;46279;975
22/06/2020;47086;807
23/06/2020;49084;1998
24/06/2020;51931;2847
25/06/2020;54291;2360
26/06/2020;56422;2131
27/06/2020;65244;8822
28/06/2020;68495;3251
29/06/2020;69467;972
30/06/2020;73307;3840
01/07/2020;76485;3178
02/07/2020;79349;2864
03/07/2020;82314;2965
04/07/2020;85485;3171
05/07/2020;87048;1563
06/07/2020;88279;1231
07/07/2020;91954;3675
08/07/2020;95536;3582
09/07/2020;98319;2783
10/07/2020;101186;2867
11/07/2020;104188;3002
12/07/2020;105763;1575
13/07/2020;106891;1128
14/07/2020;110029;3138
15/07/2020;112993;2964
16/07/2020;116373;3380
17/07/2020;118657;2284
18/07/2020;120238;1581
19/07/2020;122169;1931
20/07/2020;123292;1123
21/07/2020;126844;3552
22/07/2020;133245;6401
23/07/2020;138358;5113
24/07/2020;142767;4409
25/07/2020;146399;3632
26/07/2020;148179;1780
27/07/2020;149109;930
28/07/2020;153313;4204
29/07/2020;157334;4021
30/07/2020;161630;4296
31/07/2020;166154;4524
01/08/2020;168926;2772
02/08/2020;170476;1550
03/08/2020;171391;915
04/08/2020;175389;3998
05/08/2020;179737;4348
06/08/2020;183690;3953
07/08/2020;187892;4202
08/08/2020;191401;3509
09/08/2020;193029;1628
10/08/2020;194097;1068
11/08/2020;198767;4670
12/08/2020;203020;4253
13/08/2020;206955;3935
14/08/2020;210993;4038
15/08/2020;214379;3386
16/08/2020;216030;1651
17/08/2020;217115;1085
18/08/2020;221041;3926
19/08/2020;224659;3618
20/08/2020;228596;3937
21/08/2020;229743;1147
22/08/2020;234204;4461
23/08/2020;236050;1846
24/08/2020;237208;1158
25/08/2020;240939;3731
26/08/2020;245021;4082
27/08/2020;247853;2832
28/08/2020;250977;3124
29/08/2020;254790;3813
30/08/2020;256062;1272
31/08/2020;256727;665
01/09/2020;259418;2691
02/09/2020;265739;6321
03/09/2020;268137;2398
04/09/2020;270177;2040
05/09/2020;271225;1048
06/09/2020;271963;738
08/09/2020;272814;851
09/09/2020;275088;2274
10/09/2020;277327;2239
11/09/2020;279509;2182
12/09/2020;281665;2156
13/09/2020;282517;852
14/09/2020;283235;718
15/09/2020;285448;2213
16/09/2020;287685;2237
17/09/2020;289655;1970
18/09/2020;292019;2364
19/09/2020;294210;2191
20/09/2020;295303;1093
21/09/2020;295996;693
22/09/2020;297805;1809
23/09/2020;299415;1610
24/09/2020;301248;1833
25/09/2020;303058;1810
26/09/2020;305186;2128
27/09/2020;306036;850
28/09/2020;306629;593
29/09/2020;308252;1623
30/09/2020;310526;2274
01/10/2020;312050;1524
02/10/2020;313404;1354
03/10/2020;314711;1307
04/10/2020;315440;729
05/10/2020;316005;565
06/10/2020;318147;2142
07/10/2020;319981;1834
08/10/2020;321798;1817
09/10/2020;323210;1412
10/10/2020;324964;1754
11/10/2020;325957;993
12/10/2020;326634;677
13/10/2020;327327;693
14/10/2020;329787;2460
15/10/2020;331362;1575
16/10/2020;332898;1536
17/10/2020;334697;1799
18/10/2020;335351;654
19/10/2020;336232;881
20/10/2020;337994;1762
21/10/2020;339215;1221
22/10/2020;340665;1450
23/10/2020;342526;1861
24/10/2020;344042;1516
25/10/2020;344705;663
26/10/2020;345949;1244
27/10/2020;347721;1772
28/10/2020;349711;1990
29/10/2020;351277;1566
30/10/2020;352700;1423
31/10/2020;353157;457
01/11/2020;354043;886
02/11/2020;354576;533
03/11/2020;354983;407
04/11/2020;355753;770
05/11/2020;359130;3377
06/11/2020;361136;2006
07/11/2020;362563;1427
08/11/2020;363146;583
09/11/2020;363986;840
10/11/2020;365941;1955
11/11/2020;367669;1728
12/11/2020;369259;1590
13/11/2020;371378;2119
14/11/2020;372727;1349
15/11/2020;374009;1282
16/11/2020;374721;712
17/11/2020;375374;653
18/11/2020;377445;2071
19/11/2020;380294;2849
20/11/2020;382164;1870
21/11/2020;383945;1781
22/11/2020;384903;958
23/11/2020;386321;1418
24/11/2020;387786;1465
25/11/2020;390909;3123
26/11/2020;392381;1472
27/11/2020;394300;1919
28/11/2020;398504;4204
29/11/2020;401419;2915
30/11/2020;403071;1652
01/12/2020;406189;3118
02/12/2020;409417;3228
03/12/2020;412685;3268
04/12/2020;416734;4049
05/12/2020;419044;2310
06/12/2020;423124;4080
07/12/2020;424704;1580
08/12/2020;428034;3330
09/12/2020;431786;3752
10/12/2020;436662;4876
11/12/2020;440545;3883
12/12/2020;443465;2920
13/12/2020;444661;1196
14/12/2020;447126;2465
15/12/2020;451240;4114
16/12/2020;456106;4866
17/12/2020;461026;4920
18/12/2020;464083;3057
19/12/2020;468003;3920
20/12/2020;469660;1657
21/12/2020;471177;1517
22/12/2020;473865;2688
23/12/2020;476955;3090
24/12/2020;479553;2598
25/12/2020;480764;1211
26/12/2020;482113;1349
27/12/2020;483737;1624
28/12/2020;484485;748
29/12/2020;487691;3206
30/12/2020;490538;2847
31/12/2020;493400;2862
01/01/2021;494684;1284
02/01/2021;495286;602
03/01/2021;496008;722
04/01/2021;496823;815
05/01/2021;499900;3077
06/01/2021;502938;3038
07/01/2021;505918;2980
08/01/2021;508695;2777
09/01/2021;511192;2497
10/01/2021;512841;1649
11/01/2021;513756;915
12/01/2021;515861;2105
13/01/2021;518955;3094
14/01/2021;523068;4113
15/01/2021;528539;5471
16/01/2021;534371;5832
17/01/2021;537772;3401
18/01/2021;540320;2548
19/01/2021;544324;4004
20/01/2021;549315;4991
21/01/2021;553770;4455
22/01/2021;557900;4130
23/01/2021;562466;4566
24/01/2021;565320;2854
25/01/2021;566743;1423
26/01/2021;570092;3349
27/01/2021;574062;3970
28/01/2021;577707;3645
29/01/2021;581880;4173
30/01/2021;585958;4078
31/01/2021;588106;2148
01/02/2021;589234;1128
02/02/2021;592770;3536
03/02/2021;596140;3370
04/02/2021;599435;3295
05/02/2021;602792;3357
06/02/2021;606062;3270
07/02/2021;607946;1884
08/02/2021;609755;1809
09/02/2021;613339;3584
10/02/2021;616789;3450
11/02/2021;620042;3253
12/02/2021;623678;3636
13/02/2021;627265;3587
14/02/2021;629849;2584
15/02/2021;631645;1796
16/02/2021;635494;3849
17/02/2021;639227;3733
18/02/2021;643244;4017
19/02/2021;647384;4140
20/02/2021;651484;4100
21/02/2021;653335;1851
22/02/2021;655481;2146
23/02/2021;660506;5025
24/02/2021;664904;4398
25/02/2021;669821;4917
26/02/2021;674384;4563
27/02/2021;680904;6520
28/02/2021;684037;3133
01/03/2021;686057;2020
02/03/2021;689454;3397
03/03/2021;694783;5329
04/03/2021;700768;5985
05/03/2021;706375;5607
06/03/2021;710900;4525
07/03/2021;714005;3105
08/03/2021;715418;1413
09/03/2021;720068;4650
10/03/2021;725567;5499
11/03/2021;730542;4975
12/03/2021;735666;5124
13/03/2021;740148;4482
14/03/2021;743064;2916
15/03/2021;744227;1163
16/03/2021;748835;4608
17/03/2021;753584;4749
18/03/2021;758168;4584
19/03/2021;762616;4448
20/03/2021;767134;4518
21/03/2021;768832;1698
22/03/2021;770430;1598
23/03/2021;774491;4061
24/03/2021;779321;4830
25/03/2021;783558;4237
26/03/2021;788296;4738
27/03/2021;791481;3185
28/03/2021;794437;2956
29/03/2021;795505;1068
30/03/2021;799429;3924
31/03/2021;803664;4235
01/04/2021;808461;4797
02/04/2021;811808;3347
03/04/2021;813794;1986
04/04/2021;815649;1855
05/04/2021;817722;2073
06/04/2021;821303;3581
07/04/2021;825015;3712
08/04/2021;828466;3451
09/04/2021;832749;4283
10/04/2021;835962;3213
11/04/2021;839395;3433
12/04/2021;840976;1581
13/04/2021;845080;4104
14/04/2021;848627;3547
15/04/2021;852458;3831
16/04/2021;855871;3413
17/04/2021;859760;3889
18/04/2021;862334;2574
19/04/2021;863764;1430
20/04/2021;868047;4283
21/04/2021;871672;3625
22/04/2021;873832;2160
23/04/2021;877484;3652
24/04/2021;880803;3319
25/04/2021;884044;3241
26/04/2021;885855;1811
27/04/2021;889931;4076
28/04/2021;893276;3345
29/04/2021;897273;3997
30/04/2021;900841;3568
01/05/2021;905113;4272
02/05/2021;907121;2008
03/05/2021;909912;2791
04/05/2021;913020;3108
05/05/2021;916951;3931
06/05/2021;920422;3471
07/05/2021;925001;4579
08/05/2021;928437;3436
09/05/2021;930593;2156
10/05/2021;932031;1438
11/05/2021;936275;4244
12/05/2021;940584;4309
13/05/2021;944724;4140
14/05/2021;948753;4029
15/05/2021;952796;4043
16/05/2021;955350;2554
17/05/2021;957267;1917
18/05/2021;961157;3890
19/05/2021;966268;5111
20/05/2021;971450;5182
21/05/2021;976251;4801
22/05/2021;980712;4461
23/05/2021;983587;2875
24/05/2021;984967;1380
25/05/2021;989909;4942
26/05/2021;995364;5455
27/05/2021;999478;4114
28/05/2021;1000658;1180
29/05/2021;1007088;6430
30/05/2021;1012001;4913
31/05/2021;1012200;199
01/06/2021;1016480;4280
02/06/2021;1021367;4887
03/06/2021;1025987;4620
04/06/2021;1028518;2531
05/06/2021;1032454;3936
06/06/2021;1035524;3070
07/06/2021;1037924;2400
08/06/2021;1041351;3427
09/06/2021;1048084;6733
10/06/2021;1053031;4947
11/06/2021;1057177;4146
12/06/2021;1062742;5565
13/06/2021;1064747;2005
14/06/2021;1066552;1805
15/06/2021;1071899;5347
16/06/2021;1077784;5885
17/06/2021;1083037;5253
18/06/2021;1088035;4998
19/06/2021;1092772;4737
20/06/2021;1097339;4567
21/06/2021;1099499;2160
22/06/2021;1104545;5046
23/06/2021;1108769;4224
24/06/2021;1112304;3535
25/06/2021;1114392;2088
26/06/2021;1117408;3016
27/06/2021;1119127;1719
28/06/2021;1120408;1281
29/06/2021;1123311;2903
30/06/2021;1124994;1683
01/07/2021;1128432;3438
02/07/2021;1132050;3618
03/07/2021;1135261;3211
04/07/2021;1137167;1906
05/07/2021;1138377;1210
06/07/2021;1141612;3235
07/07/2021;1144464;2852
08/07/2021;1147552;3088
09/07/2021;1152031;4479
10/07/2021;1155841;3810
11/07/2021;1158122;2281
12/07/2021;1159419;1297
13/07/2021;1161932;2513
14/07/2021;1164162;2230
15/07/2021;1165822;1660
16/07/2021;1168377;2555
17/07/2021;1171292;2915
18/07/2021;1173423;2131
19/07/2021;1174613;1190
20/07/2021;1175267;654
21/07/2021;1178355;3088
22/07/2021;1180732;2377
23/07/2021;1182673;1941
24/07/2021;1184314;1641
25/07/2021;1185439;1125
26/07/2021;1186213;774
27/07/2021;1187550;1337
28/07/2021;1188967;1417
29/07/2021;1190992;2025
30/07/2021;1192293;1301
31/07/2021;1193689;1396
01/08/2021;1194316;627
02/08/2021;1194954;638
03/08/2021;1195507;553
04/08/2021;1197413;1906
05/08/2021;1199008;1595
06/08/2021;1200275;1267
07/08/2021;1201950;1675
08/08/2021;1202434;484
09/08/2021;1202820;386
10/08/2021;1204276;1456
11/08/2021;1205316;1040
12/08/2021;1206678;1362
13/08/2021;1207796;1118
14/08/2021;1208878;1082
15/08/2021;1209429;551
16/08/2021;1209749;320
17/08/2021;1210672;923
18/08/2021;1211625;953
19/08/2021;1212603;978
20/08/2021;1213318;715
21/08/2021;1214324;1006
22/08/2021;1214690;366
23/08/2021;1215040;350
24/08/2021;1215884;844
25/08/2021;1216546;662
26/08/2021;1217632;1086
27/08/2021;1218650;1018
28/08/2021;1219440;790
29/08/2021;1219827;387
30/08/2021;1220168;341
31/08/2021;1220792;624
01/09/2021;1221597;805
02/09/2021;1222427;830
03/09/2021;1223241;814
