DATA;NRS;CASO_CONF;CASO_ACOMP;CASO_TOTAL;ATIVOS;CURADOS;OBITO_ACUM;OBITO_NOVO
2020-04-02;;0;0;0;0;0;0;0
2020-04-02;Centro-leste;0;0;0;0;3;0;0
2020-04-02;Centro-norte;0;0;0;0;0;0;0
2020-04-02;Extremo sul;0;0;0;0;0;0;0
2020-04-02;Leste;0;0;0;0;7;3;1
2020-04-02;Nordeste;0;0;0;0;0;0;0
2020-04-02;Norte;0;0;0;0;0;0;0
2020-04-02;Oeste;0;0;0;0;0;0;0
2020-04-02;Sudoeste;0;0;0;0;0;0;0
2020-04-02;Sul;0;0;0;0;0;0;0
2020-04-03;;0;0;0;0;0;0;0
2020-04-03;Centro-leste;0;0;0;0;3;0;0
2020-04-03;Centro-norte;0;0;0;0;0;0;0
2020-04-03;Extremo sul;0;0;0;0;4;0;0
2020-04-03;Leste;0;0;0;0;17;5;2
2020-04-03;Nordeste;0;0;0;0;0;0;0
2020-04-03;Norte;0;0;0;0;0;0;0
2020-04-03;Oeste;0;0;0;0;0;0;0
2020-04-03;Sudoeste;0;0;0;0;1;0;0
2020-04-03;Sul;0;0;0;0;4;0;0
2020-04-04;;0;0;0;0;0;0;0
2020-04-04;Centro-leste;0;0;0;0;3;1;1
2020-04-04;Centro-norte;0;0;0;0;0;0;0
2020-04-04;Extremo sul;0;0;0;0;4;0;0
2020-04-04;Leste;0;0;0;0;17;6;1
2020-04-04;Nordeste;0;0;0;0;0;0;0
2020-04-04;Norte;0;0;0;0;0;0;0
2020-04-04;Oeste;0;0;0;0;0;0;0
2020-04-04;Sudoeste;0;0;0;0;1;1;1
2020-04-04;Sul;0;0;0;0;4;0;0
2020-04-05;;0;0;0;0;0;0;0
2020-04-05;Centro-leste;0;0;0;0;3;1;0
2020-04-05;Centro-norte;0;0;0;0;0;0;0
2020-04-05;Extremo sul;0;0;0;0;4;0;0
2020-04-05;Leste;0;0;0;0;17;7;1
2020-04-05;Nordeste;0;0;0;0;0;0;0
2020-04-05;Norte;0;0;0;0;0;0;0
2020-04-05;Oeste;0;0;0;0;0;0;0
2020-04-05;Sudoeste;0;0;0;0;1;1;0
2020-04-05;Sul;0;0;0;0;4;0;0
2020-04-06;;0;0;0;0;0;0;0
2020-04-06;Centro-leste;0;0;0;0;4;1;0
2020-04-06;Centro-norte;0;0;0;0;0;0;0
2020-04-06;Extremo sul;0;0;0;0;12;0;0
2020-04-06;Leste;0;0;0;0;27;8;1
2020-04-06;Nordeste;0;0;0;0;1;0;0
2020-04-06;Norte;0;0;0;0;0;0;0
2020-04-06;Oeste;0;0;0;0;0;0;0
2020-04-06;Sudoeste;0;0;0;0;4;1;0
2020-04-06;Sul;0;0;0;0;6;0;0
2020-04-07;;0;0;0;0;0;0;0
2020-04-07;Centro-leste;0;0;0;0;4;1;0
2020-04-07;Centro-norte;0;0;0;0;0;0;0
2020-04-07;Extremo sul;0;0;0;0;17;0;0
2020-04-07;Leste;0;0;0;0;35;11;3
2020-04-07;Nordeste;0;0;0;0;1;1;1
2020-04-07;Norte;0;0;0;0;0;0;0
2020-04-07;Oeste;0;0;0;0;0;0;0
2020-04-07;Sudoeste;0;0;0;0;8;1;0
2020-04-07;Sul;0;0;0;0;8;0;0
2020-04-08;;0;0;0;0;0;0;0
2020-04-08;Centro-leste;0;0;0;0;6;2;1
2020-04-08;Centro-norte;0;0;0;0;0;0;0
2020-04-08;Extremo sul;0;0;0;0;19;0;0
2020-04-08;Leste;0;0;0;0;42;12;1
2020-04-08;Nordeste;0;0;0;0;1;1;0
2020-04-08;Norte;0;0;0;0;1;0;0
2020-04-08;Oeste;0;0;0;0;0;0;0
2020-04-08;Sudoeste;0;0;0;0;8;1;0
2020-04-08;Sul;0;0;0;0;14;2;2
2020-04-09;;0;0;0;0;0;0;0
2020-04-09;Centro-leste;0;0;0;0;8;2;0
2020-04-09;Centro-norte;0;0;0;0;0;0;0
2020-04-09;Extremo sul;0;0;0;0;21;0;0
2020-04-09;Leste;0;0;0;0;45;12;0
2020-04-09;Nordeste;0;0;0;0;1;1;0
2020-04-09;Norte;0;0;0;0;1;0;0
2020-04-09;Oeste;0;0;0;0;0;0;0
