"DATA";"NRS";"ENFERMARIA_ADULTO_TOTAL";"ENFERMARIA_ADULTO_OCUPADOS";"ENFERMARIA_PEDIATRICA_TOTAL";"ENFERMARIA_PEDIATRICA_OCUPADOS";"UTI_ADULTO_TOTAL";"UTI_ADULTO_OCUPADOS";"UTI_PEDIATRICA_TOTAL";"UTI_PEDIATRICA_OCUPADOS";"ENFERMARIA_ADULTO_VAGOS";"ENFERMARIA_PEDIATRICA_VAGOS";"UTI_ADULTO_VAGOS";"UTI_PEDIATRICA_VAGOS";"ENFERMARIA_GERAL_TOTAL";"ENFERMARIA_GERAL_OCUPADOS";"ENFERMARIA_GERAL_VAGOS";"UTI_GERAL_TOTAL";"UTI_GERAL_OCUPADOS";"UTI_GERAL_VAGOS";"LEITOS_TOTAL";"LEITOS_OCUPADOS";"LEITOS_VAGOS";"ENFERMARIA_ADULTO_TX_OCUPACAO";"ENFERMARIA_PEDIATRICA_TX_OCUPACAO";"UTI_ADULTO_TX_OCUPACAO";"UTI_PEDIATRICA_TX_OCUPACAO";"ENFERMARIA_GERAL_TX_OCUPACAO";"UTI_GERAL_TX_OCUPACAO";"LEITOS_TX_OCUPACAO"
2020-06-05;"CENTRO-LESTE";108;17;20;8;28;13;10;3;91;12;15;7;128;25;103;38;16;22;166;41;125;0,1574;0,4;0,4643;0,3;0,1953;0,4211;0,247
2020-06-05;"CENTRO-NORTE";55;5;0;0;5;3;0;0;50;0;2;0;55;5;50;5;3;2;60;8;52;0,0909;NA;0,6;NA;0,0909;0,6;0,1333
2020-06-05;"EXTREMO-SUL";20;9;0;0;17;14;0;0;11;0;3;0;20;9;11;17;14;3;37;23;14;0,45;NA;0,8235;NA;0,45;0,8235;0,6216
2020-06-05;"LESTE";576;416;27;10;552;419;27;9;160;17;133;18;603;426;177;579;428;151;1182;854;328;0,7222;0,3704;0,7591;0,3333;0,7065;0,7392;0,7225
2020-06-05;"NORDESTE";21;2;0;0;15;7;0;0;19;0;8;0;21;2;19;15;7;8;36;9;27;0,0952;NA;0,4667;NA;0,0952;0,4667;0,25
2020-06-05;"NORTE";79;15;4;0;20;10;0;0;64;4;10;0;83;15;68;20;10;10;103;25;78;0,1899;0;0,5;NA;0,1807;0,5;0,2427
2020-06-05;"OESTE";20;2;0;0;5;2;0;0;18;0;3;0;20;2;18;5;2;3;25;4;21;0,1;NA;0,4;NA;0,1;0,4;0,16
2020-06-05;"SUDOESTE";72;18;0;0;50;27;1;0;54;0;23;1;72;18;54;51;27;24;123;45;78;0,25;NA;0,54;0;0,25;0,5294;0,3659
2020-06-05;"SUL";129;42;10;2;65;57;3;1;87;8;8;2;139;44;95;68;58;10;207;102;105;0,3256;0,2;0,8769;0,3333;0,3165;0,8529;0,4928
2020-06-06;"CENTRO-LESTE";98;21;20;7;28;12;10;3;77;13;16;7;118;28;90;38;15;23;156;43;113;0,2143;0,35;0,4286;0,3;0,2373;0,3947;0,2756
